crime_type,state,year,subject_count,victim_count,loss_amount
Corporate Data Breach,Arizona,2016,23,69,1364326
Credit Card Fraud,Arizona,2016,138,317,732584
Crimes Against Children,Arizona,2016,4,20,0
Criminal Forums,Arizona,2016,0,1,80000
Denial of Service,Arizona,2016,75,80,176660
Employment,Arizona,2016,92,504,1000871
Extortion,Arizona,2016,35,337,250476
Gambling,Arizona,2016,0,4,0
Government Impersonation,Arizona,2016,17,288,154420
Hacktivist,Arizona,2016,0,0,0
Harassment/Threats of Violence,Arizona,2016,252,441,1076586
Social Media,Arizona,2016,118,459,1595222
Health Care Related,Arizona,2016,2,4,101823
IPR/Copyright and Counterfeit,Arizona,2016,24,41,117006
Identity Theft,Arizona,2016,100,409,542625
Investment,Arizona,2016,34,35,500896
Lottery/Sweepstakes,Arizona,2016,16,105,258293
Malware/Scareware,Arizona,2016,9,64,14647
Misrepresentation,Arizona,2016,67,112,350588
No Lead Value,Arizona,2016,103,144,0
Non-payment/Non-Delivery,Arizona,2016,807,"1,427",2695992
Other,Arizona,2016,76,215,572500
Personal Data Breach,Arizona,2016,258,702,1069421
Phishing/Vishing/Smishing/Pharming,Arizona,2016,128,437,1238913
Ransomware,Arizona,2016,7,80,68175
Re-shipping,Arizona,2016,1,39,75912
Real Estate/Rental,Arizona,2016,83,319,1891470
Tech Support,Arizona,2016,29,269,143009
Terrorism,Arizona,2016,2,4,0
Virus,Arizona,2016,10,35,12836
Virtual Currency,Arizona,2016,10,43,153729
419/Overpayment,Arkansas,2016,61,169,638910
Advanced Fee,Arkansas,2016,36,140,463390
Auction,Arkansas,2016,42,131,108840
BEC/EAC,Arkansas,2016,17,53,395751
Charity,Arkansas,2016,1,3,0
Civil Matter,Arkansas,2016,5,5,1136
Confidence Fraud/Romance,Arkansas,2016,29,124,4621207
Corporate Data Breach,Arkansas,2016,4,10,11000
Credit Card Fraud,Arkansas,2016,18,72,59074
Crimes Against Children,Arkansas,2016,1,7,0
Criminal Forums,Arkansas,2016,0,1,0
Denial of Service,Arkansas,2016,0,5,10000
Employment,Arkansas,2016,38,100,584736
Extortion,Arkansas,2016,6,134,59987
Gambling,Arkansas,2016,0,1,0
Government Impersonation,Arkansas,2016,4,110,34917
Hacktivist,Arkansas,2016,0,1,0
Harassment/Threats of Violence,Arkansas,2016,47,107,942577
Social Media,Arkansas,2016,55,189,2975522
Health Care Related,Arkansas,2016,0,1,300
IPR/Copyright and Counterfeit,Arkansas,2016,3,9,12587
Identity Theft,Arkansas,2016,31,82,165910
Investment,Arkansas,2016,1,4,77500
Lottery/Sweepstakes,Arkansas,2016,11,69,344622
Malware/Scareware,Arkansas,2016,1,20,1278
Misrepresentation,Arkansas,2016,11,33,104525
No Lead Value,Arkansas,2016,16,37,0
Non-payment/Non-Delivery,Arkansas,2016,189,519,787181
Other,Arkansas,2016,19,70,238262
Personal Data Breach,Arkansas,2016,50,167,260093
Phishing/Vishing/Smishing/Pharming,Arkansas,2016,13,105,47035
Ransomware,Arkansas,2016,0,12,1000
Re-shipping,Arkansas,2016,1,9,0
Real Estate/Rental,Arkansas,2016,26,58,206818
Tech Support,Arkansas,2016,4,74,37840
Terrorism,Arkansas,2016,0,3,0
Virus,Arkansas,2016,1,11,1800
Virtual Currency,Arkansas,2016,1,7,720
419/Overpayment,California,2016,"1,165","2,896",7654795
Advanced Fee,California,2016,981,"1,772",6842054
Auction,California,2016,"1,467","3,566",2802864
BEC/EAC,California,2016,362,"2,155",69208381
Charity,California,2016,31,43,122703
Civil Matter,California,2016,152,161,52384827
Confidence Fraud/Romance,California,2016,837,"1,595",30496552
Corporate Data Breach,California,2016,141,568,9769361
Credit Card Fraud,California,2016,977,"2,296",8421491
Crimes Against Children,California,2016,34,142,2764
Criminal Forums,California,2016,3,8,7
Denial of Service,California,2016,50,122,420374
Employment,California,2016,872,"2,122",5123371
Extortion,California,2016,579,"2,257",2413243
Gambling,California,2016,5,12,20491
Government Impersonation,California,2016,205,"1,408",2220574
Hacktivist,California,2016,3,14,5000
Harassment/Threats of Violence,California,2016,"1,148","2,199",2067650
Social Media,California,2016,"1,048","1,946",9169889
Health Care Related,California,2016,24,36,32338
IPR/Copyright and Counterfeit,California,2016,176,383,1946413
Identity Theft,California,2016,734,"2,368",17862807
Investment,California,2016,194,178,12656865
Lottery/Sweepstakes,California,2016,313,310,2890676
Malware/Scareware,California,2016,109,347,1617528
Misrepresentation,California,2016,499,781,1762625
No Lead Value,California,2016,743,"1,994",0
Non-payment/Non-Delivery,California,2016,"4,329","10,780",18745947
Other,California,2016,588,"1,780",20280039
Personal Data Breach,California,2016,"1,569","4,031",8808240
Phishing/Vishing/Smishing/Pharming,California,2016,618,"2,059",11073447
Ransomware,California,2016,32,336,260331
Re-shipping,California,2016,49,101,333358
Real Estate/Rental,California,2016,934,"2,333",6314255
Tech Support,California,2016,491,"1,434",812196
Terrorism,California,2016,15,30,72126
Virus,California,2016,52,158,138831
Virtual Currency,California,2016,93,280,17208554
419/Overpayment,Colorado,2016,233,776,2239358
Advanced Fee,Colorado,2016,91,349,1797506
Auction,Colorado,2016,88,271,316771
BEC/EAC,Colorado,2016,51,266,6903188
Charity,Colorado,2016,1,10,29797
Civil Matter,Colorado,2016,19,20,48174
Confidence Fraud/Romance,Colorado,2016,90,298,4978320
Corporate Data Breach,Colorado,2016,12,62,337111
Credit Card Fraud,Colorado,2016,74,275,697154
Crimes Against Children,Colorado,2016,5,13,0
Criminal Forums,Colorado,2016,0,0,0
Denial of Service,Colorado,2016,3,16,4200
Employment,Colorado,2016,178,381,760219
Extortion,Colorado,2016,48,403,163890
Gambling,Colorado,2016,0,1,19500
Government Impersonation,Colorado,2016,24,330,159843
Hacktivist,Colorado,2016,0,1,0
Harassment/Threats of Violence,Colorado,2016,98,298,123409
Social Media,Colorado,2016,93,328,915677
Health Care Related,Colorado,2016,1,22,389592
IPR/Copyright and Counterfeit,Colorado,2016,17,40,44623
Identity Theft,Colorado,2016,58,339,801893
Investment,Colorado,2016,14,36,11381283
Lottery/Sweepstakes,Colorado,2016,12,95,97331
Malware/Scareware,Colorado,2016,6,49,23039
Misrepresentation,Colorado,2016,26,95,260704
No Lead Value,Colorado,2016,67,343,0
Non-payment/Non-Delivery,Colorado,2016,413,"1,300",2414002
Other,Colorado,2016,49,571,834284
Personal Data Breach,Colorado,2016,160,516,419232
Phishing/Vishing/Smishing/Pharming,Colorado,2016,66,857,388083
Ransomware,Colorado,2016,2,61,43862
Re-shipping,Colorado,2016,9,14,20217
Real Estate/Rental,Colorado,2016,216,363,689978
Tech Support,Colorado,2016,19,248,130924
Terrorism,Colorado,2016,0,2,0
Virus,Colorado,2016,3,63,94789
Virtual Currency,Colorado,2016,1,32,92241
419/Overpayment,Connecticut,2016,89,255,295348
Advanced Fee,Connecticut,2016,32,116,320824
Auction,Connecticut,2016,116,249,169224
BEC/EAC,Connecticut,2016,26,148,3077382
Charity,Connecticut,2016,1,6,12000
Civil Matter,Connecticut,2016,6,12,10696
Confidence Fraud/Romance,Connecticut,2016,31,104,1164841
Corporate Data Breach,Connecticut,2016,8,32,75197
Credit Card Fraud,Connecticut,2016,52,124,163681
Crimes Against Children,Connecticut,2016,3,10,0
Criminal Forums,Connecticut,2016,0,0,0
Denial of Service,Connecticut,2016,5,13,3800
Employment,Connecticut,2016,80,129,163569
Extortion,Connecticut,2016,13,146,93314
Gambling,Connecticut,2016,0,0,0
Government Impersonation,Connecticut,2016,6,136,115083
