crime_type,state,year,subject_count,victim_count,loss_amount
Credit Card Fraud,South Carolina,2017,33,167,664801
Crimes Against Children,South Carolina,2017,5,13,0
Criminal Forums,South Carolina,2017,0,0,0
Denial of Service/TDos,South Carolina,2017,2,11,0
Employment,South Carolina,2017,48,198,288510
Extortion,South Carolina,2017,157,206,63581
Gambling,South Carolina,2017,1,4,11588
Government Impersonation,South Carolina,2017,20,128,60928
Hacktivist,South Carolina,2017,0,0,0
Harassment/Threats of Violence,South Carolina,2017,80,210,657497
Health Care Related,South Carolina,2017,2,6,11
IPR/Copyright and Counterfeit,South Carolina,2017,6,16,6427
Social Media,South Carolina,2017,92,239,1492350
Identity Theft,South Carolina,2017,49,203,837020
Investment,South Carolina,2017,13,22,158353
Lottery/Sweepstakes/Inheritance,South Carolina,2017,17,54,47711
Malware/Scareware/Virus,South Carolina,2017,9,48,51888
Misrepresentation,South Carolina,2017,23,56,85228
No Lead Value,South Carolina,2017,106,146,0
Non-payment/Non-Delivery,South Carolina,2017,383,"1,068",1597971
Other,South Carolina,2017,40,154,134024
Overpayment,South Carolina,2017,79,316,507750
Personal Data Breach,South Carolina,2017,99,383,611252
Phishing/Vishing/Smishing/Pharming,South Carolina,2017,34,360,129938
Ransomware,South Carolina,2017,1,22,10052
Re-shipping,South Carolina,2017,3,19,5410
Real Estate/Rental,South Carolina,2017,55,128,3134968
Spoofing,South Carolina,2017,0,0,0
Tech Support,South Carolina,2017,8,135,167145
Terrorism,South Carolina,2017,1,1,0
Virtual Currency,South Carolina,2017,4,45,183878
Advanced Fee,South Dakota,2017,11,21,41925
BEC/EAC,South Dakota,2017,5,22,1838804
Charity,South Dakota,2017,0,0,0
Civil Matter,South Dakota,2017,0,1,406
Confidence Fraud/Romance,South Dakota,2017,17,32,332193
Corporate Data Breach,South Dakota,2017,2,6,1444693
Credit Card Fraud,South Dakota,2017,6,14,3639
Crimes Against Children,South Dakota,2017,0,0,0
Criminal Forums,South Dakota,2017,0,0,0
Denial of Service/TDos,South Dakota,2017,0,1,0
Employment,South Dakota,2017,8,12,34240
Extortion,South Dakota,2017,6,35,19032
Gambling,South Dakota,2017,0,0,0
Government Impersonation,South Dakota,2017,3,12,4832
Hacktivist,South Dakota,2017,0,1,0
Harassment/Threats of Violence,South Dakota,2017,11,19,57117
Health Care Related,South Dakota,2017,0,0,0
IPR/Copyright and Counterfeit,South Dakota,2017,3,4,310
Social Media,South Dakota,2017,17,38,167958
Identity Theft,South Dakota,2017,7,18,12256
Investment,South Dakota,2017,0,2,59300
Lottery/Sweepstakes/Inheritance,South Dakota,2017,2,7,810
Malware/Scareware/Virus,South Dakota,2017,0,4,0
Misrepresentation,South Dakota,2017,2,3,721
No Lead Value,South Dakota,2017,3,7,0
Non-payment/Non-Delivery,South Dakota,2017,43,127,111339
Other,South Dakota,2017,1,19,5437
Overpayment,South Dakota,2017,19,32,42693
Personal Data Breach,South Dakota,2017,11,39,11152
Phishing/Vishing/Smishing/Pharming,South Dakota,2017,6,27,101
Ransomware,South Dakota,2017,0,2,0
Re-shipping,South Dakota,2017,0,0,0
Real Estate/Rental,South Dakota,2017,12,11,1444563
Spoofing,South Dakota,2017,0,0,0
Tech Support,South Dakota,2017,0,19,18520
Terrorism,South Dakota,2017,0,0,0
Virtual Currency,South Dakota,2017,0,4,4300
Advanced Fee,Tennessee,2017,70,264,591748
BEC/EAC,Tennessee,2017,44,184,4251983
Charity,Tennessee,2017,3,9,5250
Civil Matter,Tennessee,2017,12,15,3541
Confidence Fraud/Romance,Tennessee,2017,88,260,2450680
Corporate Data Breach,Tennessee,2017,6,53,967932
Credit Card Fraud,Tennessee,2017,64,232,1213083
Crimes Against Children,Tennessee,2017,3,19,0
Criminal Forums,Tennessee,2017,0,0,0
Denial of Service/TDos,Tennessee,2017,5,16,0
Employment,Tennessee,2017,76,257,346353
Extortion,Tennessee,2017,32,290,171336
Gambling,Tennessee,2017,0,2,100
Government Impersonation,Tennessee,2017,11,174,118043
Hacktivist,Tennessee,2017,1,2,0
Harassment/Threats of Violence,Tennessee,2017,112,228,96901
Health Care Related,Tennessee,2017,1,7,6956
IPR/Copyright and Counterfeit,Tennessee,2017,12,38,34455
Social Media,Tennessee,2017,116,367,671921
Identity Theft,Tennessee,2017,98,332,1241184
Investment,Tennessee,2017,16,34,260468
Lottery/Sweepstakes/Inheritance,Tennessee,2017,21,77,121151
Malware/Scareware/Virus,Tennessee,2017,5,43,13325
Misrepresentation,Tennessee,2017,29,69,191395
No Lead Value,Tennessee,2017,157,155,0
Non-payment/Non-Delivery,Tennessee,2017,480,"1,547",2217462
Other,Tennessee,2017,68,207,297647
Overpayment,Tennessee,2017,86,321,702742
Personal Data Breach,Tennessee,2017,132,490,461249
Phishing/Vishing/Smishing/Pharming,Tennessee,2017,57,347,133594
Ransomware,Tennessee,2017,2,33,95411
Re-shipping,Tennessee,2017,3,26,8275
Real Estate/Rental,Tennessee,2017,78,148,262428
Spoofing,Tennessee,2017,0,0,0
Tech Support,Tennessee,2017,14,190,168911
Terrorism,Tennessee,2017,0,2,0
Virtual Currency,Tennessee,2017,11,43,144344
Advanced Fee,Texas,2017,662,"1,162",5756389
BEC/EAC,Texas,2017,382,"1,258",53623820
Charity,Texas,2017,15,32,31183
Civil Matter,Texas,2017,56,68,687455
Confidence Fraud/Romance,Texas,2017,669,"1,089",23428327
Corporate Data Breach,Texas,2017,76,300,5971778
Credit Card Fraud,Texas,2017,408,906,3257499
Crimes Against Children,Texas,2017,18,84,500
Criminal Forums,Texas,2017,0,0,0
Denial of Service/TDos,Texas,2017,9,70,1093
Employment,Texas,2017,655,"1,614",4142379
Extortion,Texas,2017,260,"1,129",1759735
Gambling,Texas,2017,9,21,12500
Government Impersonation,Texas,2017,92,672,1490469
Hacktivist,Texas,2017,0,10,0
Harassment/Threats of Violence,Texas,2017,515,"1,099",1011741
Health Care Related,Texas,2017,10,28,29350
IPR/Copyright and Counterfeit,Texas,2017,51,169,343758
Social Media,Texas,2017,657,"1,429",5865639
Identity Theft,Texas,2017,422,"1,207",3503199
Investment,Texas,2017,89,178,6690034
Lottery/Sweepstakes/Inheritance,Texas,2017,83,186,2297775
Malware/Scareware/Virus,Texas,2017,47,168,356215
Misrepresentation,Texas,2017,166,320,629935
No Lead Value,Texas,2017,480,"1,649",0
Non-payment/Non-Delivery,Texas,2017,"3,113","6,320",11212663
Other,Texas,2017,207,945,1608618
Overpayment,Texas,2017,988,"1,592",3847222
Personal Data Breach,Texas,2017,850,"2,381",5214232
Phishing/Vishing/Smishing/Pharming,Texas,2017,339,"1,670",2108351
Ransomware,Texas,2017,14,115,274077
Re-shipping,Texas,2017,28,121,160322
Real Estate/Rental,Texas,2017,376,500,5135331
Spoofing,Texas,2017,0,0,0
Tech Support,Texas,2017,162,657,825367
Terrorism,Texas,2017,0,15,0
Virtual Currency,Texas,2017,49,239,1940695
Advanced Fee,United States Minor Outlying Islands,2017,6,1,500
BEC/EAC,United States Minor Outlying Islands,2017,0,1,12500
Charity,United States Minor Outlying Islands,2017,0,0,0
Civil Matter,United States Minor Outlying Islands,2017,0,0,0
Confidence Fraud/Romance,United States Minor Outlying Islands,2017,2,2,1000
Corporate Data Breach,United States Minor Outlying Islands,2017,2,0,0
Credit Card Fraud,United States Minor Outlying Islands,2017,0,1,235
Crimes Against Children,United States Minor Outlying Islands,2017,0,0,0
Criminal Forums,United States Minor Outlying Islands,2017,0,0,0
Denial of Service/TDos,United States Minor Outlying Islands,2017,0,0,0
Employment,United States Minor Outlying Islands,2017,2,4,15568
Extortion,United States Minor Outlying Islands,2017,0,1,0
Gambling,United States Minor Outlying Islands,2017,0,0,0
Government Impersonation,United States Minor Outlying Islands,2017,0,1,0
Hacktivist,United States Minor Outlying Islands,2017,0,0,0
Harassment/Threats of Violence,United States Minor Outlying Islands,2017,2,0,0
Health Care Related,United States Minor Outlying Islands,2017,0,0,0
IPR/Copyright and Counterfeit,United States Minor Outlying Islands,2017,0,2,190
Social Media,United States Minor Outlying Islands,2017,1,3,500
Identity Theft,United States Minor Outlying Islands,2017,1,1,8368
Investment,United States Minor Outlying Islands,2017,0,0,0
Lottery/Sweepstakes/Inheritance,United States Minor Outlying Islands,2017,1,1,0
Malware/Scareware/Virus,United States Minor Outlying Islands,2017,0,1,0
Misrepresentation,United States Minor Outlying Islands,2017,0,0,0
No Lead Value,United States Minor Outlying Islands,2017,1,4,0
Non-payment/Non-Delivery,United States Minor Outlying Islands,2017,7,17,21975
Other,United States Minor Outlying Islands,2017,0,4,0
Overpayment,United States Minor Outlying Islands,2017,1,5,6350
Personal Data Breach,United States Minor Outlying Islands,2017,3,5,0
Phishing/Vishing/Smishing/Pharming,United States Minor Outlying Islands,2017,0,3,0
Ransomware,United States Minor Outlying Islands,2017,0,1,0
Re-shipping,United States Minor Outlying Islands,2017,0,0,0
Real Estate/Rental,United States Minor Outlying Islands,2017,0,2,1500
Spoofing,United States Minor Outlying Islands,2017,0,0,0
Tech Support,United States Minor Outlying Islands,2017,0,2,300
Terrorism,United States Minor Outlying Islands,2017,0,0,0
Virtual Currency,United States Minor Outlying Islands,2017,0,0,0
Advanced Fee,Utah,2017,49,112,607337
BEC/EAC,Utah,2017,13,150,5814817
Charity,Utah,2017,2,1,131
Civil Matter,Utah,2017,7,7,11259
Confidence Fraud/Romance,Utah,2017,34,123,432601
Corporate Data Breach,Utah,2017,5,37,329250
Credit Card Fraud,Utah,2017,54,122,461834
Crimes Against Children,Utah,2017,0,7,0
Criminal Forums,Utah,2017,0,0,0
Denial of Service/TDos,Utah,2017,3,9,1571
Employment,Utah,2017,31,109,246463
Extortion,Utah,2017,32,185,153897
Gambling,Utah,2017,0,2,0
Government Impersonation,Utah,2017,10,88,74427
Hacktivist,Utah,2017,0,1,0
Harassment/Threats of Violence,Utah,2017,37,124,27999
Health Care Related,Utah,2017,0,2,4500
IPR/Copyright and Counterfeit,Utah,2017,14,27,3718
Social Media,Utah,2017,48,152,159029
Identity Theft,Utah,2017,43,133,284440
Investment,Utah,2017,17,11,677957
Lottery/Sweepstakes/Inheritance,Utah,2017,7,26,46832
Malware/Scareware/Virus,Utah,2017,2,16,4189
Misrepresentation,Utah,2017,24,40,68887
No Lead Value,Utah,2017,25,65,0
Non-payment/Non-Delivery,Utah,2017,354,621,930704
Other,Utah,2017,25,71,72011
Overpayment,Utah,2017,47,276,1230466
Personal Data Breach,Utah,2017,66,208,230304
Phishing/Vishing/Smishing/Pharming,Utah,2017,45,176,277121
Ransomware,Utah,2017,1,18,15600
Re-shipping,Utah,2017,1,6,395
Real Estate/Rental,Utah,2017,20,81,76795
Spoofing,Utah,2017,0,0,0
Tech Support,Utah,2017,13,98,28809
Terrorism,Utah,2017,0,1,0
Virtual Currency,Utah,2017,9,31,254059
Advanced Fee,Vermont,2017,7,22,11061
BEC/EAC,Vermont,2017,0,29,240806
Charity,Vermont,2017,0,0,0
Civil Matter,Vermont,2017,3,1,9495
Confidence Fraud/Romance,Vermont,2017,6,30,276930
Corporate Data Breach,Vermont,2017,0,4,0
Credit Card Fraud,Vermont,2017,4,23,25802
Crimes Against Children,Vermont,2017,0,3,0
Criminal Forums,Vermont,2017,0,0,0
Denial of Service/TDos,Vermont,2017,0,1,0
Employment,Vermont,2017,2,22,10360
Extortion,Vermont,2017,4,29,14550
Gambling,Vermont,2017,0,0,0
Government Impersonation,Vermont,2017,3,16,0
Hacktivist,Vermont,2017,0,0,0
Harassment/Threats of Violence,Vermont,2017,3,29,957
Health Care Related,Vermont,2017,0,1,310
IPR/Copyright and Counterfeit,Vermont,2017,1,4,351
Social Media,Vermont,2017,6,28,121439
Identity Theft,Vermont,2017,3,26,30968
Investment,Vermont,2017,0,1,0
Lottery/Sweepstakes/Inheritance,Vermont,2017,0,4,1050
Malware/Scareware/Virus,Vermont,2017,0,6,699
Misrepresentation,Vermont,2017,7,11,2446
No Lead Value,Vermont,2017,7,14,0
Non-payment/Non-Delivery,Vermont,2017,29,119,291251
Other,Vermont,2017,3,25,351774
Overpayment,Vermont,2017,6,40,37214
Personal Data Breach,Vermont,2017,12,45,18907
Phishing/Vishing/Smishing/Pharming,Vermont,2017,1,46,3659
Ransomware,Vermont,2017,0,2,0
Re-shipping,Vermont,2017,0,1,0
Real Estate/Rental,Vermont,2017,2,20,45490
Spoofing,Vermont,2017,0,0,0
Tech Support,Vermont,2017,1,19,2057
Terrorism,Vermont,2017,0,0,0
Virtual Currency,Vermont,2017,0,4,351273
Advanced Fee,Virgin Islands,2017,4,2,4475
BEC/EAC,Virgin Islands,2017,0,3,167356
Charity,Virgin Islands,2017,0,0,0
Civil Matter,Virgin Islands,2017,0,0,0
Confidence Fraud/Romance,Virgin Islands,2017,1,2,200
Corporate Data Breach,Virgin Islands,2017,0,1,3500
Credit Card Fraud,Virgin Islands,2017,0,2,299
Crimes Against Children,Virgin Islands,2017,0,0,0
Criminal Forums,Virgin Islands,2017,0,0,0
Denial of Service/TDos,Virgin Islands,2017,0,0,0
Employment,Virgin Islands,2017,0,3,3281
Extortion,Virgin Islands,2017,0,2,3500
Gambling,Virgin Islands,2017,0,0,0
Government Impersonation,Virgin Islands,2017,0,0,0
Hacktivist,Virgin Islands,2017,0,0,0
Harassment/Threats of Violence,Virgin Islands,2017,4,3,0
Health Care Related,Virgin Islands,2017,0,0,0
IPR/Copyright and Counterfeit,Virgin Islands,2017,0,0,0
Social Media,Virgin Islands,2017,5,5,16560
Identity Theft,Virgin Islands,2017,1,4,403874
Investment,Virgin Islands,2017,0,1,16560
Lottery/Sweepstakes/Inheritance,Virgin Islands,2017,0,1,4475
Malware/Scareware/Virus,Virgin Islands,2017,0,2,0
Misrepresentation,Virgin Islands,2017,1,1,0
No Lead Value,Virgin Islands,2017,0,1,0
Non-payment/Non-Delivery,Virgin Islands,2017,2,11,25382
Other,Virgin Islands,2017,0,2,0
Overpayment,Virgin Islands,2017,0,7,8662
Personal Data Breach,Virgin Islands,2017,1,4,258
Phishing/Vishing/Smishing/Pharming,Virgin Islands,2017,2,2,37760
Ransomware,Virgin Islands,2017,0,1,3500
Re-shipping,Virgin Islands,2017,0,0,0
Real Estate/Rental,Virgin Islands,2017,2,2,0
Spoofing,Virgin Islands,2017,0,0,0
Tech Support,Virgin Islands,2017,0,3,0
Terrorism,Virgin Islands,2017,0,0,0
Virtual Currency,Virgin Islands,2017,0,2,3500
Advanced Fee,Virginia,2017,223,429,1713314
BEC/EAC,Virginia,2017,68,526,18939835
Charity,Virginia,2017,4,7,0
Civil Matter,Virginia,2017,13,31,816362
Confidence Fraud/Romance,Virginia,2017,113,384,4335670
Corporate Data Breach,Virginia,2017,7,105,834782
Credit Card Fraud,Virginia,2017,98,485,1239419
Crimes Against Children,Virginia,2017,7,32,300
Criminal Forums,Virginia,2017,0,0,0
Denial of Service/TDos,Virginia,2017,13,22,2950
Employment,Virginia,2017,105,451,900928
Extortion,Virginia,2017,58,456,316359
Gambling,Virginia,2017,1,2,6751
Government Impersonation,Virginia,2017,45,377,330682
Hacktivist,Virginia,2017,2,5,0
Harassment/Threats of Violence,Virginia,2017,189,456,173137
Health Care Related,Virginia,2017,3,13,1646
IPR/Copyright and Counterfeit,Virginia,2017,14,97,213490
Social Media,Virginia,2017,232,496,854891
Identity Theft,Virginia,2017,68,502,1680890
Investment,Virginia,2017,13,65,1660401
Lottery/Sweepstakes/Inheritance,Virginia,2017,14,75,305942
Malware/Scareware/Virus,Virginia,2017,16,128,57574
Misrepresentation,Virginia,2017,39,131,483080
No Lead Value,Virginia,2017,906,"1,096",0
Non-payment/Non-Delivery,Virginia,2017,"1,719","2,217",3952361
Other,Virginia,2017,67,502,189062
Overpayment,Virginia,2017,165,799,1659964
Personal Data Breach,Virginia,2017,208,792,872157
Phishing/Vishing/Smishing/Pharming,Virginia,2017,106,"1,031",229312
Ransomware,Virginia,2017,5,42,23816
Re-shipping,Virginia,2017,3,27,10791
Real Estate/Rental,Virginia,2017,55,249,1308707
Spoofing,Virginia,2017,0,0,0
Tech Support,Virginia,2017,56,328,582944
Terrorism,Virginia,2017,1,3,0
Virtual Currency,Virginia,2017,8,71,207041
Advanced Fee,Washington,2017,187,362,1290123
BEC/EAC,Washington,2017,55,364,24849299
Charity,Washington,2017,4,13,77964
Civil Matter,Washington,2017,33,39,6688
Confidence Fraud/Romance,Washington,2017,114,406,4398975
Corporate Data Breach,Washington,2017,18,85,756385
Credit Card Fraud,Washington,2017,81,426,1334205
Crimes Against Children,Washington,2017,4,42,10
Criminal Forums,Washington,2017,0,0,0
Denial of Service/TDos,Washington,2017,9,45,7957
Employment,Washington,2017,83,385,1473716
Extortion,Washington,2017,94,399,409194
Gambling,Washington,2017,0,3,1981
Government Impersonation,Washington,2017,108,247,293640
Hacktivist,Washington,2017,1,6,0
Harassment/Threats of Violence,Washington,2017,223,456,115818
Health Care Related,Washington,2017,4,4,483
IPR/Copyright and Counterfeit,Washington,2017,32,60,106670
Social Media,Washington,2017,150,504,1358212
Identity Theft,Washington,2017,115,495,1276294
Investment,Washington,2017,26,53,2919462
Lottery/Sweepstakes/Inheritance,Washington,2017,16,59,834823
Malware/Scareware/Virus,Washington,2017,15,114,169328
Misrepresentation,Washington,2017,67,134,206320
No Lead Value,Washington,2017,284,572,0
Non-payment/Non-Delivery,Washington,2017,806,"1,778",3741463
Other,Washington,2017,125,293,600328
Overpayment,Washington,2017,136,623,1277518
Personal Data Breach,Washington,2017,216,851,1437108
Phishing/Vishing/Smishing/Pharming,Washington,2017,123,622,507677
Ransomware,Washington,2017,6,63,60800
Re-shipping,Washington,2017,4,21,12200
Real Estate/Rental,Washington,2017,114,328,2342277
Spoofing,Washington,2017,0,0,0
Tech Support,Washington,2017,64,341,511005
Terrorism,Washington,2017,1,2,0
Virtual Currency,Washington,2017,23,100,1158710
Advanced Fee,West Virginia,2017,17,72,155490
BEC/EAC,West Virginia,2017,6,32,199480
Charity,West Virginia,2017,0,2,148
Civil Matter,West Virginia,2017,0,3,180
Confidence Fraud/Romance,West Virginia,2017,25,96,426119
Corporate Data Breach,West Virginia,2017,2,11,71835
Credit Card Fraud,West Virginia,2017,14,51,58150
Crimes Against Children,West Virginia,2017,0,4,0
Criminal Forums,West Virginia,2017,0,0,0
Denial of Service/TDos,West Virginia,2017,1,4,0
Employment,West Virginia,2017,7,46,67889
Extortion,West Virginia,2017,12,63,10424
Gambling,West Virginia,2017,0,0,0
Government Impersonation,West Virginia,2017,6,51,19753
Hacktivist,West Virginia,2017,0,0,0
Harassment/Threats of Violence,West Virginia,2017,40,45,53020
Health Care Related,West Virginia,2017,1,3,45
IPR/Copyright and Counterfeit,West Virginia,2017,2,4,0
Social Media,West Virginia,2017,51,108,109428
Identity Theft,West Virginia,2017,14,60,643145
Investment,West Virginia,2017,1,9,81948
Lottery/Sweepstakes/Inheritance,West Virginia,2017,2,21,57136
Malware/Scareware/Virus,West Virginia,2017,1,17,29459
Misrepresentation,West Virginia,2017,5,20,22061
No Lead Value,West Virginia,2017,4,22,0
Non-payment/Non-Delivery,West Virginia,2017,186,335,429047
Other,West Virginia,2017,9,62,256009
Overpayment,West Virginia,2017,30,79,91894
Personal Data Breach,West Virginia,2017,40,98,219603
Phishing/Vishing/Smishing/Pharming,West Virginia,2017,11,79,15598
Ransomware,West Virginia,2017,0,7,0
Re-shipping,West Virginia,2017,2,3,40000
Real Estate/Rental,West Virginia,2017,7,29,44190
Spoofing,West Virginia,2017,0,0,0
Tech Support,West Virginia,2017,12,53,42841
Terrorism,West Virginia,2017,0,0,0
Virtual Currency,West Virginia,2017,3,10,21349
Advanced Fee,Wisconsin,2017,35,832,687929
BEC/EAC,Wisconsin,2017,23,166,7620643
Charity,Wisconsin,2017,0,6,57373
Civil Matter,Wisconsin,2017,5,11,1780
Confidence Fraud/Romance,Wisconsin,2017,45,216,1923874
Corporate Data Breach,Wisconsin,2017,9,48,441286
Credit Card Fraud,Wisconsin,2017,50,203,607204
Crimes Against Children,Wisconsin,2017,2,9,50
Criminal Forums,Wisconsin,2017,0,0,0
Denial of Service/TDos,Wisconsin,2017,4,12,0
Employment,Wisconsin,2017,41,162,153305
Extortion,Wisconsin,2017,24,237,209193
Gambling,Wisconsin,2017,0,2,6000
Government Impersonation,Wisconsin,2017,12,243,270216
Hacktivist,Wisconsin,2017,0,0,0
Harassment/Threats of Violence,Wisconsin,2017,73,192,29433
Health Care Related,Wisconsin,2017,1,8,47288
IPR/Copyright and Counterfeit,Wisconsin,2017,13,22,8450
Social Media,Wisconsin,2017,68,267,445011
Identity Theft,Wisconsin,2017,44,200,340452
Investment,Wisconsin,2017,7,32,1488538
Lottery/Sweepstakes/Inheritance,Wisconsin,2017,5,102,205200
Malware/Scareware/Virus,Wisconsin,2017,6,52,26455
Misrepresentation,Wisconsin,2017,11,59,119004
No Lead Value,Wisconsin,2017,29,241,0
Non-payment/Non-Delivery,Wisconsin,2017,235,"1,052",1699830
Other,Wisconsin,2017,28,338,60582
Overpayment,Wisconsin,2017,69,"1,259",790668
Personal Data Breach,Wisconsin,2017,84,342,893298
Phishing/Vishing/Smishing/Pharming,Wisconsin,2017,25,814,204976
Ransomware,Wisconsin,2017,3,20,20307
Re-shipping,Wisconsin,2017,3,9,787
Real Estate/Rental,Wisconsin,2017,18,116,283149
Spoofing,Wisconsin,2017,0,0,0
Tech Support,Wisconsin,2017,9,186,136661
Terrorism,Wisconsin,2017,0,0,0
Virtual Currency,Wisconsin,2017,4,29,198547
Advanced Fee,Wyoming,2017,18,37,75749
BEC/EAC,Wyoming,2017,6,17,1289623
Charity,Wyoming,2017,0,1,1600
Civil Matter,Wyoming,2017,0,1,500
Confidence Fraud/Romance,Wyoming,2017,18,31,260656
Corporate Data Breach,Wyoming,2017,0,5,112966
Credit Card Fraud,Wyoming,2017,9,48,153920
Crimes Against Children,Wyoming,2017,2,2,0
Criminal Forums,Wyoming,2017,0,0,0
Denial of Service/TDos,Wyoming,2017,0,2,0
Employment,Wyoming,2017,8,20,13670
Extortion,Wyoming,2017,7,40,5901
Gambling,Wyoming,2017,0,0,0
Government Impersonation,Wyoming,2017,3,24,200
Hacktivist,Wyoming,2017,0,0,0
Harassment/Threats of Violence,Wyoming,2017,4,12,3600
Health Care Related,Wyoming,2017,0,1,0
IPR/Copyright and Counterfeit,Wyoming,2017,0,5,2056
Social Media,Wyoming,2017,18,29,40842
Identity Theft,Wyoming,2017,6,28,37535
Investment,Wyoming,2017,9,2,59000
Lottery/Sweepstakes/Inheritance,Wyoming,2017,3,19,52972
Malware/Scareware/Virus,Wyoming,2017,0,5,200
Misrepresentation,Wyoming,2017,1,4,25500
No Lead Value,Wyoming,2017,5,3,0
Non-payment/Non-Delivery,Wyoming,2017,53,111,282451
Other,Wyoming,2017,1,19,36571
Overpayment,Wyoming,2017,6,40,21842
Personal Data Breach,Wyoming,2017,8,31,71856
Phishing/Vishing/Smishing/Pharming,Wyoming,2017,11,30,5191
Ransomware,Wyoming,2017,0,0,0
Re-shipping,Wyoming,2017,0,0,0
Real Estate/Rental,Wyoming,2017,17,9,6485
Spoofing,Wyoming,2017,0,0,0
Tech Support,Wyoming,2017,9,26,30301
Terrorism,Wyoming,2017,0,0,0
Virtual Currency,Wyoming,2017,8,3,22693
Advanced Fee,Alabama,2018,46,193,2212395
BEC/EAC,Alabama,2018,37,190,7542651
Charity,Alabama,2018,2,3,1450
Civil Matter,Alabama,2018,12,12,1600
Confidence Fraud/Romance,Alabama,2018,101,235,1796307
Corporate Data Breach,Alabama,2018,4,36,316727
Credit Card Fraud,Alabama,2018,65,623,585717
Crimes Against Children,Alabama,2018,3,27,80
Denial of Service/TDos,Alabama,2018,1,7,0
Employment,Alabama,2018,40,160,234805
Extortion,Alabama,2018,80,495,562988
Gambling,Alabama,2018,1,7,195
Government Impersonation,Alabama,2018,22,145,461953
Hacktivist,Alabama,2018,1,0,0
Harassment/Threats of Violence,Alabama,2018,122,287,15769
Health Care Related,Alabama,2018,0,4,20229
IPR/Copyright and Counterfeit,Alabama,2018,8,20,3585
Social Media,Alabama,2018,130,493,471960
Identity Theft,Alabama,2018,49,215,400346
Investment,Alabama,2018,20,15,593922
Lottery/Sweepstakes/Inheritance,Alabama,2018,11,94,985088
Malware/Scareware/Virus,Alabama,2018,4,30,13660
Misrepresentation,Alabama,2018,31,50,44364
No Lead Value,Alabama,2018,32,525,0
Non-payment/Non-Delivery,Alabama,2018,272,718,2657871
Other,Alabama,2018,26,88,240618
Overpayment,Alabama,2018,54,153,316275
Personal Data Breach,Alabama,2018,149,823,820244
Phishing/Vishing/Smishing/Pharming,Alabama,2018,36,218,270826
Ransomware,Alabama,2018,1,22,13286
Re-shipping,Alabama,2018,1,6,7000
Real Estate/Rental,Alabama,2018,31,72,364659
Spoofing,Alabama,2018,33,191,136566
Tech Support,Alabama,2018,28,190,587078
Terrorism,Alabama,2018,0,3,0
Virtual Currency,Alabama,2018,43,260,921507
Advanced Fee,Alaska,2018,13,58,299046
BEC/EAC,Alaska,2018,8,66,777539
Charity,Alaska,2018,1,6,280
Civil Matter,Alaska,2018,1,3,0
Confidence Fraud/Romance,Alaska,2018,16,85,1077487
Corporate Data Breach,Alaska,2018,0,13,2630
Credit Card Fraud,Alaska,2018,12,80,99690
Crimes Against Children,Alaska,2018,1,9,0
Denial of Service/TDos,Alaska,2018,0,2,0
Employment,Alaska,2018,5,51,80458
Extortion,Alaska,2018,14,225,186778
Gambling,Alaska,2018,0,1,0
Government Impersonation,Alaska,2018,3,49,94313
Hacktivist,Alaska,2018,0,0,0
Harassment/Threats of Violence,Alaska,2018,38,84,88178
Health Care Related,Alaska,2018,0,0,0
IPR/Copyright and Counterfeit,Alaska,2018,3,2,27456
Social Media,Alaska,2018,32,176,346913
Identity Theft,Alaska,2018,8,72,113783
Investment,Alaska,2018,6,7,128407
Lottery/Sweepstakes/Inheritance,Alaska,2018,6,44,27552
Malware/Scareware/Virus,Alaska,2018,1,11,900
Misrepresentation,Alaska,2018,2,10,38894
No Lead Value,Alaska,2018,22,97,0
Non-payment/Non-Delivery,Alaska,2018,75,117,358366
Other,Alaska,2018,7,45,12999
Overpayment,Alaska,2018,7,83,219858
Personal Data Breach,Alaska,2018,33,186,70660
Phishing/Vishing/Smishing/Pharming,Alaska,2018,20,446,12179
Ransomware,Alaska,2018,3,11,2000
Re-shipping,Alaska,2018,0,2,0
Real Estate/Rental,Alaska,2018,5,34,83506
Spoofing,Alaska,2018,13,269,45724
Tech Support,Alaska,2018,6,77,433072
Terrorism,Alaska,2018,0,1,0
Virtual Currency,Alaska,2018,9,116,310353
Advanced Fee,American Samoa,2018,1,3,17137
BEC/EAC,American Samoa,2018,0,0,0
Charity,American Samoa,2018,0,0,0
Civil Matter,American Samoa,2018,0,0,0
Confidence Fraud/Romance,American Samoa,2018,0,0,0
Corporate Data Breach,American Samoa,2018,0,0,0
Credit Card Fraud,American Samoa,2018,0,0,0
Crimes Against Children,American Samoa,2018,0,0,0
Denial of Service/TDos,American Samoa,2018,0,0,0
Employment,American Samoa,2018,1,2,0
Extortion,American Samoa,2018,1,1,0
Gambling,American Samoa,2018,0,0,0
Government Impersonation,American Samoa,2018,0,1,0
Hacktivist,American Samoa,2018,0,0,0
Harassment/Threats of Violence,American Samoa,2018,0,1,0
Health Care Related,American Samoa,2018,0,0,0
IPR/Copyright and Counterfeit,American Samoa,2018,0,0,0
Social Media,American Samoa,2018,1,0,0
Identity Theft,American Samoa,2018,0,0,0
Investment,American Samoa,2018,0,0,0
Lottery/Sweepstakes/Inheritance,American Samoa,2018,0,2,600
Malware/Scareware/Virus,American Samoa,2018,0,1,0
Misrepresentation,American Samoa,2018,0,0,0
No Lead Value,American Samoa,2018,0,6,0
